Lang	Sents	Source	English
abk	23129	292575	423328
ace	552	3122	2713
ach	73615	1502084	1330312
acm	11	63	88
acu	12440	352038	330555
ada	63301	1673235	1134839
ady	12	47	49
aed	43972	849021	859107
afb	79	329	400
afh	10	46	54
afr	1154419	22757262	21619472
agr	12879	298076	341307
ain	26	117	154
aka	67	2292	2308
ake	12440	497479	329109
akl	22	97	81
aln	27	137	138
alt	3759	52354	70356
alz	7597	154807	133328
amh	709821	10637192	15480295
ami	9188	186352	175811
amu	15658	571361	414474
ang	1222	4919	4626
aoz	18	69	71
apc	15	69	95
ara	19986856	543817292	622205409
arc	1	2	2
arg	1835	11756	9832
arn	16781	275977	296881
arq	946	5747	7739
ary	53	182	267
arz	549	2735	3698
ase	1653	20448	20785
asf	149	2413	2322
asm	43490	674594	1070165
ast	11218	71131	64704
atj	1	48	43
avk	159	943	1234
awa	277	1373	1370
aym	141396	1967543	2745368
aze	479722	8375151	9516989
bak	26279	381509	493487
bal	29	128	107
bam	6	20	19
bar	105	1101	1138
bas	27894	617654	497885
bbc	35461	577018	622916
bci	144184	3721223	2621486
bcl	459899	10081860	8886387
bel	6656	44172	51392
bem	388548	6610332	7256419
ben	205372	3519172	3975562
bfi	461	8159	9630
bho	66	1151	1227
bhw	22334	367066	381715
bin	11667	262063	208615
bis	484885	12119499	9148089
bod	1184	19561	8193
bos	11136988	92751180	115294863
bpy	2	55	57
bre	28046	205611	209126
brx	27	93	111
bsn	11266	686533	294148
bts	14237	233747	237868
btx	27313	436766	470266
bua	17	70	83
bul	2387080	58156522	61180209
bum	28112	625848	495541
bvl	167	1710	2068
bvy	24	159	165
bxr	52	1419	1864
byn	2	3	3
bzj	6940	136554	120160
bzs	112798	2067737	2087718
cab	59722	1019222	1098640
cak	46643	1299977	966751
cat	529150	5871484	5871879
cbk	2492	17752	17396
cce	18001	346746	303485
ceb	975201	21212198	19011362
ces	2301346	55202641	55406319
cha	14662	319351	352831
che	16	150	117
chk	211259	4417349	4080447
cho	115	621	651
chq	14366	920431	369293
chr	15874	290298	419946
chv	69308	1041825	1313498
chw	18050	253104	300023
chy	1	59	54
cjk	36072	603880	629785
cjp	15280	613354	403893
cjy	6	37	25
ckb	2945	10395	11126
ckt	3	9	12
cmn	45612	501154	385926
cnh	27948	555695	479729
cni	15389	334064	407287
cop	15834	258525	419635
cor	4238	25251	24591
cos	84	3126	3023
crh	1703	9876	10668
crs	191421	3886322	3564081
csb	1113	5145	4901
cse	11686	179332	210615
csf	564	10037	10581
csg	362	4855	5243
csl	17756	494606	347438
csn	3486	72173	71548
csr	8	86	85
ctu	26533	548313	479006
cym	30992	617580	542685
dan	8279106	199642863	203962773
deu	7118195	175961161	179195097
dhv	59467	1515601	1086088
dik	13423	386786	356739
din	2	102	104
diq	98	2381	3357
div	91374	2620321	2518715
dje	61040	1940279	1795430
djk	52939	1465226	1043467
dng	6	27	32
dop	15839	563103	419629
dsb	42	484	694
dtp	1883	13091	13077
dty	30	922	850
dua	15450	445880	269938
dws	10	40	53
dyu	14963	323126	259360
dzo	52	511	167
ecs	3624	71510	72874
efi	337608	7387845	6362466
egl	84	507	468
ell	7890356	196300234	199075216
epo	303237	3513993	3851571
esn	287	5339	5325
est	5855307	118500082	129467035
eus	1412611	15116979	19804640
ewe	598065	12970795	11353364
ext	74	609	656
fao	982	4153	4498
fas	6922321	73110976	80765897
fcs	13136	254316	240520
fij	364159	7928568	6804383
fil	2429	55578	51467
fin	7546211	156934425	171751873
fkv	69	562	659
fon	31368	867723	553931
fra	26294210	851304061	727106230
frm	18	216	230
frp	824	2966	2080
fry	2067	9632	9773
fse	21768	299111	401153
fsl	2861	58927	56228
fuc	6	21	26
ful	1	7	3
fur	6609	47433	41947
fuv	35	156	184
gaa	416391	9393939	7959095
gan	4	30	22
gbi	15142	629962	401228
gbm	39	184	165
gcf	79	470	453
gil	206715	4815029	3930575
gla	2446	49854	46657
gle	1734832	49526008	46439091
glg	208653	1692180	1963697
glk	16	274	528
glv	11640	268057	238018
gom	810	25895	28702
gor	121	4585	5278
gos	1033	4897	5132
got	229	4756	1987
grc	583	3858	4959
grn	252	2227	3161
gsg	16441	268677	298682
gss	7100	137796	140367
gsw	241	2229	2384
guc	53653	827920	985934
gug	145536	2172403	2768161
guj	328476	4341394	6484823
guw	291392	6717402	5487150
gym	79355	1631660	1465184
hak	3	16	15
hat	200144	4481348	3666311
hau	334527	7299896	6690035
haw	104	943	1022
hds	11	77	113
heb	24059128	189051405	241286053
her	8201	151826	141716
hif	56	828	1098
hil	820769	17658687	15640420
hin	1374548	23322224	21893946
hmn	41905	907924	729889
hmo	231409	4834501	4359502
hne	61312	363856	297663
hnj	4	25	20
hoc	658	3135	3634
hrv	1243954	25580983	25556151
hrx	220	1324	1272
hsb	37	197	240
hsh	13902	215135	256861
hsn	3	21	15
hun	5782578	128594047	135122403
hye	367490	5482045	7158925
iba	34634	615265	591590
ibg	30386	570502	538638
ibo	420226	10175688	7811289
ido	4393	30416	31930
ike	49	150	258
iku	5363	66950	113640
ile	2620	16743	16945
ilo	913958	18037128	17227617
ina	12725	104169	101736
ind	904996	21270083	17940849
inl	206	2459	2814
ins	288	2898	3054
ise	81168	1511646	1540989
ish	5242	113069	91590
isl	417649	7557723	7212203
iso	218950	4969379	4090841
ita	5205634	138712500	144358869
izh	6	22	23
jak	15639	569045	414414
jam	65	2135	2240
jav	30465	486026	536958
jbo	11858	91238	85686
jdt	2	6	9
jiv	13011	274665	345565
jpn	697243	15949159	14929351
jsl	85029	2245090	1542762
kab	38580	765817	555796
kac	10959	270314	184835
kal	194802	2231873	3648156
kam	51415	963143	936438
kan	320313	4007734	7437477
kas	939	5038	4829
kat	637193	6876410	11221293
kau	318	3101	1519
kaz	114349	395637	445678
kbh	10363	387119	274197
kbp	29193	620146	523287
kea	5234	102542	90578
kek	63902	2250066	1851977
kha	1309	9330	8783
khm	71953	1846547	2038559
kik	95147	1724075	1746667
kin	439409	8001038	8416148
kir	281552	4009557	5537272
kjh	17	65	80
kmb	91165	1970866	1626250
kmr	14855	273822	261592
koi	14	68	85
kom	1	117	98
kon	209116	4459700	3920261
koo	36243	575036	641266
kor	1616059	61083646	32102238
kpv	15	42	52
kqn	222730	3768357	4140740
kri	42498	1001240	753380
krl	148	695	721
ksh	28	564	621
kss	37804	774930	656806
ksw	26400	1265268	545629
kua	100622	1947150	1844468
kum	7	30	46
kur	96187	3238948	2800636
kvk	68654	2402906	1275360
kwn	107968	1722542	1953950
kwy	172557	2995256	3150711
lad	385	2261	2484
lam	14922	241565	272353
lao	22311	698584	463692
lat	83152	1220233	2014869
lav	6247727	133482419	141346139
lbe	1	56	55
ldn	77	470	435
lez	1	108	75
lfn	3514	26701	24768
lij	54	426	394
lim	5573	31281	30327
lin	544794	10935260	10300185
lit	5890566	127264615	135011884
liv	33	165	195
lkt	21	90	108
lld	21	229	232
lmo	47	948	901
loz	420454	9628757	7980586
lrc	2	44	56
lsp	17	150	146
ltz	142	2070	2168
lua	297043	5578865	5591211
lub	200876	3580928	3782607
lue	322787	4779707	6095831
lug	228569	3773780	4307417
lun	136596	1875583	2505381
luo	138488	2626263	2523469
lus	190419	4330741	3569976
lzh	577	5273	6669
mad	6	50	38
mah	237630	5822305	4501272
mai	5440	27985	25315
mal	504109	7075129	12125007
mam	57538	1430212	1176133
mar	347059	4770201	7268224
mau	27598	497278	500122
max	279	2029	1904
mco	66671	1106686	1268346
mdf	9	89	97
men	1683	36711	28780
mfe	184610	4106578	3401880
mfs	31094	617410	614628
mgm	33	282	307
mgr	44023	733717	786825
mhr	71	388	493
mic	8	26	35
min	380	12913	13440
